codigo;marcaDeTiempo;mensaje;indicesFicherosModificados
hdtreaqm;20000206131007;I would rather be playing SC2.;48,15,5,58
ih5kxmas;19910728001346;woa!! this one was really HARD!;141,124,175,39,8
hz2opiy4;20040229124711;first blush;24,154,43,25,193,183
t6hxsrnq;19970216093123;Same as last commit with changes;64
u1ygi0lb;19990704001308;Too tired to write descriptive message;151,34,29,105,7,167,86
tdpeob2x;19910526011653;final commit.;28,80,108,35,32
il24jrds;19980215064948;restored deleted entities just to be sure;196,135,11,51,55,17,167
rukw2m48;20011014035158;some brief changes;40,104,7,180
qs06u4x2;20020922150315;One does not simply merge into master;134,103
40zo5oli;19991128020104;fixed some minor stuff, might need some additional work.;189,166
pyhuca6q;19960114223322;yo recipes;169,3,42,124
9a8o0lde;20031026214320;You can't see it, but I'm making a very angry face right now;36,122,6,24,114,198
10y26har;20141207023301;better ignores;2,191,179,199,192,118,76
wm1thnvi;20021124120847;Obligatory placeholder commit message;41,45,54,169
d2zbt9ba;19910526123121;i think i fixed a bug...;106,47,14
5o77ze2v;20130421130331;pep8 - cause I fell like doing a barrel roll;24
acduxgqd;19981101174958;Final commit, ready for tagging;9,156,57,112,146,191
i34iwdpw;20070408112037;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;199,88,128,140
tn95wx4t;19950319102933;For real, this time.;143,108,143
83iwoxnr;19990808073619;added security.;170,53,19
e1wvpfkk;20070422214713;Committed some changes;165,137,101,2,158
s3kyoiys;20070805165610;Do things better, faster, stronger;149,154
98vwbon7;19980621194729;pointless limitation;86,183
5bvkjgcc;19901118102702;Made it to compile...;85,72,17,146,45,63,57
6qd91jo3;20140202035151;For real, this time.;59,21,30,124
acleo9nj;20001210114424;To those I leave behind, good luck!;160,105,32
eek4ktwe;19990228214949;bugger;113,142,63,119
kwe3i83n;19940130101139;fix;78,199
m5mg6irh;20070506095058;It was the best of times, it was the worst of times;114,78
6jo6166g;19970112112115;My bad;177,36,151,192,151
ccmivtal;19920426195942;This solves it.;13,163,153
0s90lfz3;19910707024655;Removed code.;19
3kqs7fet;19910120214703;Another bug bites the dust;119
z7ocdv77;20021103194844;grmbl;14,43,15,36,199,121,93
64a3zat6;19940529234019;I expected something different.;169,108
sij9fyj3;19980208220055;fix tpyo;55,71,62,35,38,168
wsx0kmci;20100627020119;ALL SORTS OF THINGS;161,1,6,61,160,5,5
u0rs1yhu;20130127140647;I am sorry;156,75,108,148
hto10jqq;20130505050710; - Temporary commit.;136,171,141,64,47,68,84
8vdn5hfz;19900729235227;syntax;160,160,31
69d4rkpy;19980927162826;needs more cow bell;25,121,62
1dm6ezuq;19980531020033;I would rather be playing SC2.;156,47
71fhzf7a;20010729184017;Update .gitignore;150,44
z0csei1a;20080120174851;Batman! (this commit has no parents);31,158,66,31,49
ywm8jid8;19910908061014;and so the crazy refactoring process sees the sunlight after some months in the dark!;200,74,108
zsnmdejv;19950205212410;Fixed errors;57,33,123,170,101,77
zeihuskm;20061022064931;Add Sandbox;46,109,195
gs2ukffl;19980628032923;de-misunderestimating;117,135,181,38,84,107
nq5uglc5;20001119035619;I don't know what these changes are supposed to accomplish but somebody told me to make them.;22,184,22,1,70
9pavmdss;19980308075347;I would rather be playing SC2.;88,96,37,139,94,20,154
vhbbmi3g;19900617064907;woa!! this one was really HARD!;190,45,160,120,103,3
b01pop4q;20050313101619;first blush;174,186,79,158,168,15,10
ccqnu5x0;20090329103103;Same as last commit with changes;98,53,116,159,85,68
31pba8rv;20010408065027;Too tired to write descriptive message;199,176,89
4t3sachl;19960623202614;final commit.;117,46
y0pzfrkb;20010902155926;restored deleted entities just to be sure;31
fv2mnx8s;20090104211516;some brief changes;169,171,117,23
a3bgewh8;19900408103941;One does not simply merge into master;10,117,75,8,32
xwafi0vj;19911215230935;fixed some minor stuff, might need some additional work.;121,153,57,34,169,137,44
mnyz6k90;20150329041422;yo recipes;85,76,4,195,24
dozomqgv;20130630083635;You can't see it, but I'm making a very angry face right now;25,64,163,6
kx0rtl1g;20140119004623;better ignores;164,138,182,13,23,200
6iwy41ni;19951119031234;Obligatory placeholder commit message;65,25,104,188,110,6,171
s8czuz9q;20110109041630;i think i fixed a bug...;90,184,191,149
h09qse0u;19910303230700;pep8 - cause I fell like doing a barrel roll;50,129,20,12
caghy92s;19900304113329;Final commit, ready for tagging;5,195
su8gbnno;20130811202456;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;65,49,4,136,5
rfar84ap;20000903041401;For real, this time.;2,23,191,162
xt2nn87f;19980621122550;added security.;17,119,146
c8v0a2b3;19980322145952;Committed some changes;1,197,106,168,130,141
quobedv2;20020811032626;Do things better, faster, stronger;133,82,5,75
b9gv3egw;20080203111119;pointless limitation;89,35,16,181,167
zz9oo73t;20100404003623;Made it to compile...;79,137,71,50,113
d2j044jc;20140608091235;For real, this time.;120,10,147,138,193,128,69
jrgb9hm9;19920419040217;To those I leave behind, good luck!;85,14,73
if9m3zer;20060820134458;bugger;180
66ocsj04;19910609082347;fix;166,71,163
i6wgaoh1;19960714115814;It was the best of times, it was the worst of times;52,127,196
rk3qo3dr;20110529045624;My bad;32,26,2,179,31,172,190
bd7nmunm;20091220225004;This solves it.;101,116
j2eeffam;20121104021201;Removed code.;43
cbobnjcv;20051016200107;Another bug bites the dust;18,50,198,105,195,193,186
fff9dd3e;20010729144303;grmbl;97
5rxey5j7;19940918222934;I expected something different.;21,185,64,16
sihib435;19920202124048;fix tpyo;118,47,123,21
7go7to99;20050911135650;ALL SORTS OF THINGS;184,137
bj65gox5;20131117141933;I am sorry;34,29,126,12,147,87,158
glw92ib5;19990530133128;Temporary commit.;166,138,62,57,147,191
8nzzblby;20070812223829;syntax;47,180,58,181,158,48,176
y2uhjz7y;20141026125916;needs more cow bell;136,20,156,105,78
ph4tjuvu;20140316044747;I would rather be playing SC2.;107,114
izb2p9ta;20051127093153;Update .gitignore;163,171,45,17,113
c36xzz3r;19970720090334;Batman! (this commit has no parents);173
jkq8yfwb;19900311223431;and so the crazy refactoring process sees the sunlight after some months in the dark!;167,25
bdmblm1r;20141116140139;Fixed errors;141,108,34,3,98,123
ihykc2l0;19900624065037;Add Sandbox;21,140,140,193
65632mtv;20081214201525;de-misunderestimating;154
xeeu3evs;20000507185918;I don't know what these changes are supposed to accomplish but somebody told me to make them.;155,21
ran1hkaa;19991219175205;I would rather be playing SC2.;171,185,63
h6r4eg1h;20130922171903;woa!! this one was really HARD!;69
rd3ot69k;19990704222305;first blush;166,82
y3nddou0;19900506164621;Same as last commit with changes;189,149,67,11
5h7q42w3;20000416112230;Too tired to write descriptive message;179,138,81,79,179,86,129
45rtmens;19990516221051;final commit.;44
buemo71m;20130113065517;restored deleted entities just to be sure;143,49,90,35,95,56
lexjqtgb;20070805232418;some brief changes;27,42,164,176,49,117
9p6aylw8;20080127125409;One does not simply merge into master;168,79,38,125
x2d4vglp;19941113033017;fixed some minor stuff, might need some additional work.;133,96,150,142
zd9n0xir;20041010122944;yo recipes;106,27,51,59,113,122
i4mhqbde;20051120103422;You can't see it, but I'm making a very angry face right now;156,142,18
mknllhgt;19940313151950;better ignores;122
zsz1vz1r;19960331222910;Obligatory placeholder commit message;174,127
ip9okci7;19980503022102;i think i fixed a bug...;183,41
os91c6ck;19921108210357;pep8 - cause I fell like doing a barrel roll;125,191,113,3
jm50l5h5;20030504133512;Final commit, ready for tagging;77,144
n51a6ugy;20000924143755;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;107,83,185,93
c082saic;20050703010030;For real, this time.;68
lzaomwiq;20051030202851;added security.;91,138
tsfbs6sv;19990926063423;Final commit, ready for tagging;108,199,185,160,14
gldewcq6;19980125020723;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;7,51,71,143,157,78,8
f93p78zg;20020804044100;For real, this time.;39,157
h145sq43;20110327163644;added security.;113
1k6xqud8;20050918015756;Committed some changes;75,143,97,105,52,167
isodbh3d;20050925105644;Do things better, faster, stronger;66,8,14,64,54
cpq51p1y;20151227151833;pointless limitation;80
xrz8d3bf;19920913184105;Made it to compile...;121,184
o9zpc85g;20010225173232;For real, this time.;40,71,37,197,46,96,131
93kry3ie;19960121044450;To those I leave behind, good luck!;131,98,47,70,158,160,79
l4b2n6eh;20010506003011;bugger;92,29,21,51
h32m1j40;19950806155907;fix;37,82,142,1,14,16
wxlsefqm;19910106090925;It was the best of times, it was the worst of times;119,28,87,133,7,3
4o5vhohe;19920927204622;My bad;163,50,98,186,53
6qvj6e7e;20061022102851;This solves it.;153,165
y2aad6fi;20070107190025;Removed code.;149,56,146,116
71etnkh5;19910428223609;Another bug bites the dust;104
0n6g19ih;20130929021521;grmbl;141,189,173,18,138,48,40
yte9t0vo;20000813081834;I expected something different.;72,182
g3e72nao;20080831080446;fix tpyo;143,56,57,190,189,199
hngotdvn;20100502140116;ALL SORTS OF THINGS;60,143,112,89
tvl18lhc;20131208111116;I am sorry;124,175,4,131,61,1
xrfbg6rb;20031123075756;Temporary commit.;177,105
07z86pbx;20111113094601;syntax;76,180,152,137
86l72m7l;20080210030357;needs more cow bell;74
ddxwl5t0;19940918131831;I would rather be playing SC2.;52,65,118,19,158,83
vccbvnjj;20101219204818;Update .gitignore;6,45
w8yn89pn;20011118184153;Batman! (this commit has no parents);10
ajog14ld;20040725193814;and so the crazy refactoring process sees the sunlight after some months in the dark!;53,87,105
4m2dou05;20000924230631;Fixed errors;169,59
tnnapa3o;20081109073045;Add Sandbox;130,36,120,67,31,149,52
eo427vmj;20060423155427;de-misunderestimating;1,156
jnyz6hft;19940814164014;I don't know what these changes are supposed to accomplish but somebody told me to make them.;92,116,153,172,116,170,88
wtdhjqp3;19971116181332;I would rather be playing SC2.;200,128,70,175,71,162
6laqdk7k;19911110060155;woa!! this one was really HARD!;23,22,50,8
2799uvpf;20050102183731;first blush;17,117
z1caiz4h;19971123143455;Same as last commit with changes;32,38,154,80,47,198
nyv5rcry;20120429232753;Too tired to write descriptive message;180
oh2alwou;19940417061818;final commit.;83
bie3up54;20011021201152;restored deleted entities just to be sure;8,40,182,108,132
y79t3fc9;19900121082904;some brief changes;193,25
kyzves6k;20110821002757;One does not simply merge into master;42,169,174,141,67,34,146
ac3x4jir;20050306063349;fixed some minor stuff, might need some additional work.;82,94
i01ycu2t;20130428113625;yo recipes;96,147,62,31,46,78,88
1xj452m0;19970914131447;You can't see it, but I'm making a very angry face right now;133,125,56
gwhci7pe;20091108003241;better ignores;139,192,195,85,41,4
vbcjjf3u;19910106024401;Obligatory placeholder commit message;122,134,190,116
42n303x1;20030504215405;i think i fixed a bug...;17,189,124
s449aa2l;19900909025803;pep8 - cause I fell like doing a barrel roll;27,177,127
fp6u8ofh;20080713033323;Final commit, ready for tagging;193,162,157,21
6fa4eb7d;20040725171452;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;79,72,89,174,148
rdjyb4j5;20070819121015;For real, this time.;51,17,93,135,151,65
njralekm;20080406003639;added security.;132,88,37,138,148
fxfgpzuh;19980830132009;Committed some changes;109,123,35,101
3wgjl2w7;19960804144930;Do things better, faster, stronger;179,176,149,76,54,178,103
urltjr2q;20140706184144;pointless limitation;79,1,150,199,145,140,144
bgna8h89;19910127122318;Made it to compile...;124,179,123,175,190
g5u4vm43;20000514031159;For real, this time.;91,151,122
d1tiekyb;19961103033907;To those I leave behind, good luck!;42,74,146,147,21,121
6s67avld;20110814051653;bugger;143,177,113
9tsygfmz;20060115110257;fix;117,146,70,38,50,33
h0mk6gyd;19930328233328;It was the best of times, it was the worst of times;97,59,129,2
1fy4doi9;20090614112743;My bad;123,199
s24wsquz;19901216123938;This solves it.;79,133,16,178,46,59,182
xd4zb6ok;20120101024549;Removed code.;59,127,162,59,112
zz5h6ygx;19940206051707;Another bug bites the dust;37,60,142,179
o5thgts2;20000716225710;grmbl;181,170,78,181,191,178
fuycgsm2;19941218182500;I expected something different.;75,84,105,174,183,52,151
prah2mhz;19971109132034;fix tpyo;47,165,113,190,132,98
vb9vfmxa;20080420203846;ALL SORTS OF THINGS;108,173,33,61,122,18
ycvon2zc;20080113022108;I am sorry;155,186,40,11,7
niz9lzed;20140803093335; - Temporary commit.;190,142
elyg9b2w;19990425055642;syntax;23,28,128,195
reinezby;20061119071214;needs more cow bell;199,96,195,183
hmj7t9zd;20000312093418;I would rather be playing SC2.;42,74,59
7r3jzmxs;19970525225039;Update .gitignore;170,194,79,196,53,187,190
p1yqrd2j;19940130084305;Batman! (this commit has no parents);114,161
esyc34mb;20090628173235;and so the crazy refactoring process sees the sunlight after some months in the dark!;78,9,177,151
prn9wgzt;20150823043354;Fixed errors;162,138,26,167,37,187
q7xq567i;19950312194407;Add Sandbox;45,103,185,164
mis672aa;19921004121941;de-misunderestimating;81,59,20
ht388r9u;20060528130605;I don't know what these changes are supposed to accomplish but somebody told me to make them.;24,81
aa6o4t1j;20151018235622;I would rather be playing SC2.;60,196
ovd3c8b0;20140105015324;woa!! this one was really HARD!;40,34,117,73,18,37
p4e17yen;19971116082854;first blush;103
bpfr3s78;20010225051308;Same as last commit with changes;50,12,138,77,37
ztywriqo;19980405043715;Too tired to write descriptive message;80
uklfin0g;20090621233445;final commit.;126,190,63,111,65,172,92
e5kdg42h;20020505050629;restored deleted entities just to be sure;133,195,176,110,186,177,132
2ubd1fq0;20090705011855;some brief changes;151,115
4dmn02to;19970330104259;One does not simply merge into master;33,82,188
dttycnn1;19970223130246;fixed some minor stuff, might need some additional work.;197,48,115,16
bnof2fvz;19991205085804;yo recipes;191,89,10
2fz3hk4a;19960204181945;You can't see it, but I'm making a very angry face right now;50
ur8svwzl;20110925142042;better ignores;123,192,124
5dfs94ih;20141019043747;Obligatory placeholder commit message;199
qm78y02h;19901118185803;i think i fixed a bug...;193
xi6rap56;19961020194444;pep8 - cause I fell like doing a barrel roll;64,50,136
ztvb39u5;20010819224437;Final commit, ready for tagging;198,66,105
ldvqeq33;20150614234209;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;187,21
byylxt39;20030831135918;For real, this time.;110,86
82bs7d5q;20140119061837;added security.;84,38,180,174,187,197,75
kk3m448h;20001022194730;Committed some changes;29,43,85,69,165,166,89
qffcy6b2;19960707084103;Do things better, faster, stronger;189,131,166,109,92,196,81
9vdbznkm;20080622005817;pointless limitation;33,24,44,166,41
54hhpxzv;19910414022007;Made it to compile...;88,82,37,86,99,7
3rq1r740;20131117053245;For real, this time.;45,10
71o86tdd;20150517101456;To those I leave behind, good luck!;122,33,167,29
lo1j1ta7;19950416204057;bugger;132,186
ospnpyxn;20060521065348;fix;28,146,185,146,63
lxqobkh7;20140720021355;It was the best of times, it was the worst of times;52,33,156,200
unsaja67;20081005184850;My bad;43
xgffiyy8;20140112172516;This solves it.;176,95,155,85,186
glqkxk76;19970525211824;Removed code.;170,172,66,91,106,127,117
388ou5hu;20121014041052;Another bug bites the dust;63,165,193,192,129,158,148
cbgfjc86;20031116001639;grmbl;113,118,60,69,98,150,162
ktlc2gzw;20090503115315;I expected something different.;173
8t29ywbh;20061015191720;fix tpyo;140,14,181,152,159,153,184
15gl683w;20070318212619;ALL SORTS OF THINGS;75
sjtmldyc;19910120224541;I am sorry;158,177,166,44,148,113
1uikjlcs;20090426113051; - Temporary commit.;197
nwgm97sy;19950423111441;syntax;56,43
43dnm71s;20011209070042;needs more cow bell;144,1,200,44,107
r5zthbkv;20111204021947;I would rather be playing SC2.;199
ri1apyo1;20001022050742;Update .gitignore;114,179,4,3,56,89
z9ex0wqx;20060709103758;Batman! (this commit has no parents);181,14,196,33
k49szciv;19900722095707;and so the crazy refactoring process sees the sunlight after some months in the dark!;80,7,67,70,138,86
1y6dwim3;20041205151900;Fixed errors;136,30,66,58
0kjwu2mx;19920216205343;Add Sandbox;25,120,9,40,82
81ead90e;19950813023817;de-misunderestimating;118
qwqkq0wn;20121223230243;I don't know what these changes are supposed to accomplish but somebody told me to make them.;122,23
cvvfb05y;20100627183844;I would rather be playing SC2.;52,120,84,106,125,135
fjh46c32;20011216133621;woa!! this one was really HARD!;91,164
525ppnff;20140928203648;first blush;114
i3x6b2eq;19920419184550;Same as last commit with changes;61,67
qsaxl93p;20020210234336;Too tired to write descriptive message;126,131,60,182,27,15
9l821w4t;20100905210140;final commit.;87,110,184,192,155
33a13m4m;20051204133544;restored deleted entities just to be sure;170,62,120,189
dfm24tgm;19910714073750;some brief changes;26,31
bu4c2g8f;20140706123441;One does not simply merge into master;88
6k2rypfj;20040215151645;fixed some minor stuff, might need some additional work.;35,31,84
tieprvqk;19951105142141;yo recipes;57,148,54
4pfhzfoi;19950702160920;You can't see it, but I'm making a very angry face right now;139,65,154
j1cirmrg;20050703124812;better ignores;11,165,108
sosvrpkp;20020203204208;Obligatory placeholder commit message;194,145,149,4,136
kyh8qehm;19951008100521;i think i fixed a bug...;178,21,4,124,112
zt4ju9zn;19921213183742;pep8 - cause I fell like doing a barrel roll;122
mh3of0nr;20130414013621;Final commit, ready for tagging;173,72
c66ajo7m;20000220120825;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;126,136
shwp1qle;20010930202445;For real, this time.;108,60
vd6xqefs;20001112215434;added security.;38,185
ubg72mo9;19941225015112;Committed some changes;173
4lklwpxi;20070311185837;Do things better, faster, stronger;143,34
dygeok78;20090125072515;pointless limitation;119,172
o6sp16zx;20010729073514;Made it to compile...;29
s1gq9r25;19960728183349;For real, this time.;165,59,184,197,79,61
n86zszm4;20071014163310;To those I leave behind, good luck!;128,106,177,130
atjh2q0w;20080601085747;bugger;77,30
f3u2ln7c;20081019195600;fix;152,68
kitw6kt2;19931128062048;It was the best of times, it was the worst of times;11
ai6v0h80;19950226060217;My bad;112,47
t6yx0si7;19980222213812;This solves it.;33,127
8h6vs7x2;20050320034148;Removed code.;110,178,150,40,186,131,144
jmmjt51r;20060625100004;Another bug bites the dust;20,142,20,173,163
aa3501d8;20030427212922;grmbl;123,38,61,145,76,187
82rnx89r;19900812035326;I expected something different.;160,156,160,161
p5as9gn7;20040530172609;fix tpyo;78,33,116
v34g405w;20120212131958;ALL SORTS OF THINGS;10
4bfwnzba;20031228192116;I am sorry;18,164,182,135
f9ovzd8g;19920322062838;Temporary commit.;68,179,120,170,70
dlrl0t0f;20000611054544;syntax;38,7,47,48,51,19,183
m2fb2c09;19980524063142;needs more cow bell;100,146,43
ugqhc4dq;19911027013857;I would rather be playing SC2.;81,169,42,121,36
2ueutn26;19940327061217;Update .gitignore;100,112,26,4,23,148,2
9mytrwp9;20050123113322;Batman! (this commit has no parents);108,18,179,174,163,15,149
a5o6r1hw;20090927215059;and so the crazy refactoring process sees the sunlight after some months in the dark!;182,19,140
9ias935q;19941002061438;Fixed errors;179
sd48k2b0;19930523035407;Add Sandbox;75,21,42,159,103,178
y5m82m0d;20030928140028;de-misunderestimating;45,15,90,162,108,69,140
6mhlnjrq;20060319173019;I don't know what these changes are supposed to accomplish but somebody told me to make them.;197,147
8z298j89;19990808140035;I would rather be playing SC2.;173,57,12,45,148
2ib8c7jr;20130804105354;woa!! this one was really HARD!;67,18,8,69
sjba890p;19950122152112;first blush;192,32
wbjroacv;20070204234817;Same as last commit with changes;148,85,182
tivfq5yn;20060312025902;Too tired to write descriptive message;49,47
i8phv0fh;19991024014906;final commit.;122,105,19,85,199,175
4xjvuso4;20151213092119;restored deleted entities just to be sure;111,174,71,86,52
x6staj7e;20110123154949;some brief changes;66,7,117,128
8zt1cvlo;19960630042726;One does not simply merge into master;83
xs6ukxxk;20080106030332;fixed some minor stuff, might need some additional work.;28,8,192,123
pkivor21;20010121123942;yo recipes;84,101
lbz65oxh;20030119231500;You can't see it, but I'm making a very angry face right now;107,154,169,28
v69rk2e7;20110220172408;better ignores;187
a05akbul;20000319105435;Obligatory placeholder commit message;48,162,138
yin3d6km;20131020180801;i think i fixed a bug...;191
y969kzhm;19900930180246;pep8 - cause I fell like doing a barrel roll;163,86,178,53
5f7n9apt;19990314121557;Final commit, ready for tagging;31,104,116
8idvpxwj;19940306130609;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;127
n6q5txfq;19941113135950;For real, this time.;160,118,116,97
aw8oy1ad;19940717150132;added security.;89,179,27,1
rp9knd15;20051204233737;Final commit, ready for tagging;109,179,148,79,57,193,179
z0gzhk5m;19920112041451;Switched off unit test 8 because the build had to go out now and there was no time to fix it properly.;75,33,105,28,47,46
ff1tia0d;19910317202026;For real, this time.;173,175
tf12x84k;20110508202932;added security.;78,175,51,126,125
zey75o10;20151025061725;Committed some changes;173
yewuhcy8;19970330042624;Do things better, faster, stronger;185,85
0fopvzep;19940220031248;pointless limitation;175,119,7,121,40
fqr4rnqs;20071209093234;Made it to compile...;159,13
1n611tg2;20140302191846;For real, this time.;49,119
wlvv789y;20081102154057;To those I leave behind, good luck!;136,92,60,128
wrnxynm3;19990228032154;bugger;127,20,69,19,115
xd84iysk;20020519200919;fix;169,16
emi05jvc;20061008183945;It was the best of times, it was the worst of times;185,78,192,164
c8m4qpip;19951029185531;My bad;12,112,147,27,47,144
wp40j79d;20100418222025;This solves it.;196,141
racgqfjf;20010715224125;Removed code.;140,184,164,21,80,36,138
brbq7zug;19960121075825;Another bug bites the dust;177,130,47,23,181,1
al5pfe55;19990307125304;grmbl;158
1cy2pfkq;19960421045828;I expected something different.;143,105,81
7nn7heca;20150111115403;fix tpyo;180,46,149
u1pvyheg;20080629212824;ALL SORTS OF THINGS;117,144,26,56
j09oiyc4;20100103092306;I am sorry;57,195,95,72
pe55x0a3;20101003105124;Temporary commit.;95,190,70,82
uscwv827;19930502032844;syntax;159
zmwxorq7;20120708212959;needs more cow bell;13,153,120
pngsrlk9;19951105130640;I would rather be playing SC2.;41,53,175,188,121,152,197
ps9230fl;20060115190808;Update .gitignore;44,95,194,181
ra77k3fw;20000423213213;Batman! (this commit has no parents);98,171,175,165,78,76
4jgcpacj;19970831221305;and so the crazy refactoring process sees the sunlight after some months in the dark!;54,50,162,79,189
8b0g8pze;20080224123931;Fixed errors;103
g8z2xzum;20060702045708;Add Sandbox;155,53,17
q67gwckr;20100221020408;de-misunderestimating;21,98
ej1bys7p;20001105045054;I don't know what these changes are supposed to accomplish but somebody told me to make them.;33,91,147,89,153,166
i61gx6i3;19990627182641;I would rather be playing SC2.;91,144
1ux5hlk4;20101010212947;woa!! this one was really HARD!;143,185,189
tc9i0hi9;20061008022656;first blush;95
frk4h8zl;20041219051824;Same as last commit with changes;68,16
12c9ahw5;20121014085033;Too tired to write descriptive message;123,199,2,144
fxmdoelo;19991205160657;final commit.;148,187,112
